Year-Month,Value
1991-05,0.34
1991-06,0.53
1991-07,0.47
1991-08,0.39
1991-09,0.44
1991-10,0.29
1991-11,0.3
1991-12,0.32
1992-01,0.48
1992-02,0.4
1992-03,0.48
1992-04,0.27
1992-05,0.31
1992-06,0.26
1992-07,0.08
1992-08,0.08
1992-09,-0.01
1992-10,0.06
1992-11,0.03
1992-12,0.22
1993-01,0.35
1993-02,0.37
1993-03,0.36
1993-04,0.28
1993-05,0.28
1993-06,0.23
1993-07,0.25
1993-08,0.11
1993-09,0.12
1993-10,0.23
1993-11,0.03
1993-12,0.18
1994-01,0.26
1994-02,0.03
1994-03,0.29
1994-04,0.41
1994-05,0.28
1994-06,0.44
1994-07,0.3
1994-08,0.21
1994-09,0.32
1994-10,0.42
1994-11,0.44
1994-12,0.38
1995-01,0.52
1995-02,0.79
1995-03,0.47
1995-04,0.47
1995-05,0.27
1995-06,0.43
1995-07,0.45
1995-08,0.45
1995-09,0.34
1995-10,0.47
1995-11,0.44
1995-12,0.26
1996-01,0.24
1996-02,0.46
1996-03,0.33
1996-04,0.33
1996-05,0.27
1996-06,0.25
1996-07,0.37
1996-08,0.48
1996-09,0.25
1996-10,0.2
1996-11,0.38
1996-12,0.37
1997-01,0.31
1997-02,0.41
1997-03,0.52
1997-04,0.34
1997-05,0.34
1997-06,0.54
1997-07,0.34
1997-08,0.41
1997-09,0.52
1997-10,0.61
1997-11,0.64
1997-12,0.59
1998-01,0.58
1998-02,0.88
1998-03,0.63
1998-04,0.64
1998-05,0.68
1998-06,0.77
1998-07,0.66
1998-08,0.66
1998-09,0.42
1998-10,0.41
1998-11,0.43
1998-12,0.55
1999-01,0.49
1999-02,0.64
1999-03,0.32
1999-04,0.32
1999-05,0.26
1999-06,0.36
1999-07,0.38
1999-08,0.31
1999-09,0.39
1999-10,0.34
1999-11,0.37
1999-12,0.41
2000-01,0.25
2000-02,0.56
2000-03,0.55
2000-04,0.57
2000-05,0.36
2000-06,0.4
2000-07,0.39
2000-08,0.42
2000-09,0.39
